title,release,synopsis,seasons,episodes,genres,img_path
Cow and Chicken,1997,"Follows the surreal adventures of a cow, named Cow, and her chicken brother, named Chicken. They are often antagonized by ""The Red Guy"", who poses as various characters to scam them.",4,26,"Animation, Comedy, Kids",https://image.tmdb.org/t/p/w600_and_h900_bestv2/vWhzjxoHLrvl7JUKNDoXUfNqF2x.jpg
A Thousand Fangs,2021,"An elite commando is on a mission, deep in the jungle, to find and destroy a powerful and mysterious leader.",1,7,"Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/tayfazRzkhpyKAhKS6PALXKJUj1.jpg
Love All Play,2022,"A sports romance drama that depicts the passion and affection for badminton of a male and female protagonist who is a mixed doubles group with players from the badminton business team. Park Tae Joon, who naturally wound up in the world of badminton because of his parents’ badminton equipment business. Although he had begun to see the sport as work, his passion for badminton is reignited due to a desire to impress a woman. Park Tae Yang is a former aspiring Olympian who had to leave the badminton world for three years due to a bribing scandal.",1,16,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qsvYA33F4vwMDbNscdvt6r9zCZe.jpg
Overlord,2015,"In the year 2138, virtual reality gaming is booming. Yggdrasil, a popular online game is quietly shut down one day. However, one player named Momonga decides to not log out. Momonga is then transformed into the image of a skeleton as ""the most powerful wizard."" The world continues to change, with non-player characters (NPCs) beginning to feel emotion. Having no parents, friends, or place in society, this ordinary young man Momonga then strives to take over the new world the game has become.",4,1,"Animation, Sci-Fi & Fantasy, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/aSjpVCanDAwCopdjIgWwrxOWnWf.jpg
Redo of Healer,2021,"In a world of monsters, adventurers and magic, some of the most gifted healers are subjugated to brute force. Keyaru gains the ability to rewind time and turns the tables on those who’ve exploited him in this dark fantasy tale of vengeance and fury.",1,12,"Animation, Action & Adventure, Sci-Fi & Fantasy, Drama, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/a5IDQtt7SgLbLtY7YGYVp1XvRng.jpg
I Am Georgina,2022,"Join Georgina Rodríguez — mom, influencer, businesswoman and Cristiano Ronaldo's partner — in this emotional and in-depth portrait of her daily life.",1,6,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wLx0JlCwWvaAY4Y55qQSQJDfDO7.jpg
Just Beyond,2021,"Middle school feels like the worst place imaginable, but for Jess, Josh, and Marco, their school may actually be the worst place in this world…or any other!",1,8,"Family, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/yByXllpVtTfDf2wT0qe1MSGdRFa.jpg
Yashahime: Princess Half-Demon,2020,"The daughters of Sesshoumaru and Inuyasha set out on a journey transcending time! In Feudal Japan, Half-Demon twins Towa and Setsuna are separated from each other during a forest fire. While desperately searching for her younger sister, Towa wanders into a mysterious tunnel that sends her into present-day Japan, where she is found and raised by Kagome Higurashi’s brother, Souta, and his family. Ten years later, the tunnel that connects the two eras has reopened, allowing Towa to be reunited with Setsuna, who is now a Demon Slayer working for Kohaku. But to Towa’s shock, Setsuna appears to have lost all memories of her older sister. Joined by Moroha, the daughter of Inuyasha and Kagome, the three young women travel between the two eras on an adventure to regain their missing past.",1,48,"Animation, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/vfbBzqu5wU4qgbGlamEmBCHSU4t.jpg
Chapelwaite,2021,"In the 1850s, Captain Charles Boone relocates his family of three children to his ancestral home in the small, seemingly sleepy town of Preacher’s Corners, Maine after his wife dies at sea. Charles will soon have to confront the secrets of his family’s sordid history, and fight to end the darkness that has plagued the Boones for generations.",1,10,"Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/v7Oix3Zkhg3ftRxmLmyDBJc9ycp.jpg
Trollhunters: Tales of Arcadia,2016,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",3,13,"Family, Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/9VZmMzINVdO3ZYGsKItU39pNO2l.jpg
Uzaki-chan Wants to Hang Out!,2020,"Shinichi Sakurai’s one wish is for a little peace and quiet. But Hana Uzaki — his boisterous, well-endowed underclassman — has other plans. All she wants is to hang out and poke fun at him. With the help of her chipper charm and peppy persistence, this might just be the start of a beautiful relationship!",1,12,"Animation, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4EBxanQHK1fSYsdeRVpBAGeknFN.jpg
Çocuklar Duymasın,2002,We don't have an overview translated in English. Help us expand our database by adding one.,9,32,"Comedy, Family, Kids, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4Ctw5fPgMASHub8LtX16N8jjqQA.jpg
5 gars pour moi,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,20,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/rBE9y7AlUHHWZYknKJoVh6Vu8pV.jpg
